assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,None,None,0,439482,None,,0,0,0,0,0.0,655,262,None,,0,3,1.0,1.0,0,Miguel,0.0,0,0,0.0,660,261,721,False,0.0,658,260,0,,None,45,0,0,None,0,,439482.jpg,0.0,0,0,Azeez,0.0,False,None,a,1,3,0.0,642,260,0,364,0,172,0,0.0,0.0,Azeez,0
0,0,0,None,None,0,450553,None,,0,0,0,0,0.0,558,213,None,,0,2,1.0,1.0,0,Alex,0.0,0,0,0.0,574,213,730,False,0.0,569,213,0,,None,40,0,0,None,0,,450553.jpg,0.0,0,0,Kirk,0.0,False,None,a,1,3,0.0,526,207,0,157,0,45,0,0.0,0.0,Kirk,0
0,2,198,100,100,4,101184,None,,0,0,-3,3,53.1,350,123,None,,1,2,1.3,0.3,1,Calum,1.3,16,1,36.7,341,123,10,False,250.6,277,106,999,,2022-01-13T23:00:13.596699Z,42,0,0,None,0,,101184.jpg,3.2,0,0,Chambers,0.4,False,None,a,2,7,63.0,341,118,42,49077,0,51749,0,0.3,10.0,Chambers,1
0,0,13,0,0,0,79852,None,,0,0,-1,1,0.0,507,22,None,,0,1,0.0,0.0,0,Jed,0.0,3,0,0.8,501,42,28,False,8.2,486,42,90,Joined Luton Town on loan until the end of the season - Expected back 01 Jul,2022-01-31T18:00:10.386198Z,39,0,0,None,0,,79852.jpg,1.0,0,1,Steer,1.7,False,None,u,2,7,0.0,473,7,1,325469,0,296097,0,0.0,0.3,Steer,0
0,0,0,0,0,0,85242,None,,0,0,-1,1,0.0,703,292,None,,0,3,0.0,0.0,0,Conor,0.0,0,0,0.0,703,291,29,False,0.0,703,291,0,Joined Sheffield United on a season-long loan - Expected back 01 Jul,2021-08-31T07:00:13.054434Z,49,0,0,None,0,,85242.jpg,0.0,0,0,Hourihane,0.0,False,None,u,2,7,0.0,692,292,0,398,0,3131,0,0.0,0.0,Hourihane,0
0,7,651,100,100,11,98980,None,,0,0,0,0,0.0,723,81,None,,2,1,3.0,1.0,0,Emiliano,2.0,48,0,75.4,233,11,30,False,755.8,33,10,3240,,2021-10-13T23:00:12.628419Z,55,0,0,None,1,,98980.jpg,3.6,0,95,Martínez,11.4,False,None,a,2,7,0.0,722,80,129,774970,0,2408848,0,0.4,23.5,Martínez,4
0,0,0,0,0,0,108156,None,,0,0,0,0,0.0,619,238,None,,0,2,0.0,0.0,0,Björn,0.0,0,0,0.0,626,238,31,False,0.0,622,238,0,Transferred to Royal Antwerp,2021-06-25T10:09:04.469362Z,45,0,0,None,0,,108156.jpg,0.0,0,0,Engels,0.0,False,None,u,2,7,0.0,603,237,0,0,0,56,0,0.0,0.0,Engels,0
1,0,41,100,100,0,110504,None,,0,0,-3,3,10.6,436,208,None,,0,3,-0.7,-0.7,0,Bertrand,0.3,3,0,11.8,425,189,32,False,21.0,464,199,212,,2022-04-22T12:30:16.685215Z,57,0,0,None,0,,110504.jpg,1.4,0,0,Traoré,0.3,False,None,a,2,7,90.0,315,161,13,14574,0,144221,0,0.1,2.3,Traoré,0
0,0,61,100,100,0,122775,None,,0,0,0,0,36.6,374,187,None,,0,3,-1.0,-1.0,0,Morgan,0.0,8,0,9.4,434,195,34,False,52.8,426,182,349,,2022-04-22T12:30:16.704350Z,50,0,0,None,0,,122775.jpg,1.3,0,0,Sanson,0.0,False,None,a,2,7,3.0,444,214,13,2674,0,3180,0,0.0,2.6,Sanson,0
4,12,495,100,100,10,122806,1,,0,0,-4,4,777.8,15,12,None,,2,3,3.0,3.0,2,John,4.0,48,3,178.6,44,30,35,False,700.2,51,20,3090,,2022-01-02T21:00:19.751877Z,56,0,0,None,0,,122806.jpg,3.1,0,0,McGinn,1.1,False,None,a,2,7,307.0,148,82,110,347733,0,356112,0,0.7,19.6,McGinn,8
